StaffID,FullName,Role,Shift,AssignedDepartment
STAFF-0213,Carolyn Tate,Doctor,Morning,ICU
STAFF-0214,Jay Douglas,Nurse,Morning,Ward
STAFF-0215,William Williams,Admin,Morning,Surgery
STAFF-0216,Peter Hughes,Doctor,Night,Diagnostics
STAFF-0217,Sylvia Watson MD,Doctor,Night,ICU
STAFF-0218,Joseph Luna,Nurse,Night,ICU
STAFF-0219,Katherine Flores,Doctor,Morning,Diagnostics
STAFF-0220,Wayne Malone,Nurse,Morning,Ward
STAFF-0221,Mary Thompson,Nurse,Morning,Diagnostics
STAFF-0222,Marissa Evans,Doctor,Morning,Ward
STAFF-0223,James Valentine,Nurse,Night,ICU
STAFF-0224,Michael Ayers,Admin,Evening,Surgery
STAFF-0225,James Green,Admin,Morning,Ward
STAFF-0226,Rachel Harris,Nurse,Night,ICU
STAFF-0227,Timothy Rodriguez,Admin,Night,Surgery
STAFF-0228,Casey Hayden,Nurse,Morning,ICU
STAFF-0229,James Evans,Nurse,Evening,Diagnostics
STAFF-0230,Sean Johnson,Technician,Evening,Ward
STAFF-0231,Mark Copeland,Technician,Morning,Diagnostics
STAFF-0232,Willie Robinson,Technician,Evening,Diagnostics
STAFF-0233,Matthew Harris,Nurse,Night,ICU
STAFF-0234,Timothy Sparks,Nurse,Evening,Emergency
STAFF-0235,Michael Price,Admin,Night,Diagnostics
STAFF-0236,Jordan Berg,Doctor,Evening,Emergency
STAFF-0237,Rhonda Bradford,Admin,Night,Emergency
STAFF-0238,Eric Blankenship,Nurse,Morning,Ward
STAFF-0239,Dan Valdez,Doctor,Night,Ward
STAFF-0240,Stephanie Gonzalez,Admin,Evening,Diagnostics
STAFF-0241,Monica Goodman,Nurse,Evening,Emergency
STAFF-0242,Lynn Munoz MD,Technician,Night,ICU
STAFF-0243,Thomas Eaton,Admin,Evening,Ward
STAFF-0244,Linda Carpenter,Technician,Morning,Ward
STAFF-0245,Jessica Harrison,Admin,Evening,Surgery
STAFF-0246,Isaac Black,Admin,Evening,Ward
STAFF-0247,Patricia Wells,Nurse,Morning,Surgery
STAFF-0248,Miss Tamara Cruz,Technician,Evening,Ward
STAFF-0249,Tara Nguyen,Nurse,Night,Diagnostics
STAFF-0250,Catherine Short,Technician,Morning,Surgery
STAFF-0251,Anthony Anderson,Technician,Morning,Surgery
STAFF-0252,Ricardo Bryan,Technician,Night,Surgery
STAFF-0253,Carl Hicks,Nurse,Night,ICU
STAFF-0254,Robert Fisher,Nurse,Evening,ICU
STAFF-0255,David Chang,Doctor,Evening,Surgery
STAFF-0256,Donna Ward,Doctor,Evening,ICU
STAFF-0257,Mr. Patrick Ewing,Doctor,Evening,ICU
STAFF-0258,Carrie Garrett,Admin,Morning,Surgery
STAFF-0259,Nathan Gomez,Admin,Morning,ICU
STAFF-0260,Bradley Graham,Doctor,Night,Surgery
STAFF-0261,Holly Grant MD,Nurse,Evening,ICU
STAFF-0262,Jacob Andrade,Admin,Night,Ward
STAFF-0263,Erica Henry,Technician,Morning,Emergency
STAFF-0264,William Kim,Admin,Morning,Emergency
STAFF-0265,Michael Saunders,Admin,Morning,ICU
STAFF-0266,Sheila Thompson,Admin,Evening,Ward
STAFF-0267,Rebecca Kelly,Doctor,Morning,Ward
STAFF-0268,Scott Rose,Nurse,Morning,Surgery
STAFF-0269,Mr. Steven Bell DVM,Technician,Evening,ICU
STAFF-0270,Elizabeth Harding,Doctor,Evening,Ward
STAFF-0271,Matthew Jefferson,Technician,Morning,ICU
STAFF-0272,Mr. Michael Flores MD,Nurse,Night,Emergency
STAFF-0273,Joseph Garcia,Doctor,Morning,Surgery
STAFF-0274,Vincent Lutz,Technician,Evening,ICU
STAFF-0275,Molly Williams,Technician,Morning,Surgery
STAFF-0276,Taylor Castillo,Admin,Evening,Emergency
STAFF-0277,Eric Walls,Nurse,Night,Diagnostics
STAFF-0278,Alexander Byrd,Admin,Evening,Surgery
STAFF-0279,Marie Flores,Doctor,Morning,Ward
STAFF-0280,Aaron Conway,Doctor,Evening,Ward
STAFF-0281,Melanie Fisher,Admin,Morning,Surgery
STAFF-0282,Regina Green,Technician,Morning,Diagnostics
STAFF-0283,Mr. Daniel Schmidt DDS,Doctor,Night,Surgery
STAFF-0284,Jessica Lee,Technician,Night,ICU
STAFF-0285,Mark Price,Nurse,Evening,Ward
STAFF-0286,Timothy Young,Technician,Night,Emergency
STAFF-0287,Jessica Manning,Technician,Morning,Ward
STAFF-0288,Darryl Cisneros,Technician,Night,Emergency
STAFF-0289,Shannon Moore,Technician,Evening,Ward
STAFF-0290,Melissa Gillespie,Technician,Evening,ICU
STAFF-0291,Brian Buckley,Doctor,Morning,ICU
STAFF-0292,Christopher Washington,Doctor,Morning,Emergency
STAFF-0293,Stephen Jimenez,Admin,Morning,ICU
STAFF-0294,Erik Morris,Nurse,Night,Ward
STAFF-0295,Kyle Smith,Nurse,Night,Surgery
STAFF-0296,April Kennedy,Doctor,Night,Emergency
STAFF-0297,Allison Mendoza,Admin,Evening,Ward
STAFF-0298,Kristy Martin,Admin,Morning,Diagnostics
STAFF-0299,Henry Matthews,Doctor,Evening,Surgery
STAFF-0300,William Ortiz,Doctor,Night,Diagnostics
